season_label,gw,player_ref,display_name,club_ref,pos_code,price,minutes_played,points,ingested_at
2025-26,7,105,Synthetic MID 105,1,3,8.6,0,0,2025-26-ingest
2025-26,1,116,Synthetic MID 116,3,3,6.5,60,12,2025-26-ingest
2025-26,8,120,Synthetic DEF 120,4,2,7.1,0,0,2025-26-ingest
2025-26,2,131,Synthetic GK 131,6,1,4.5,60,2,2025-26-ingest
2025-26,4,106,Synthetic FWD 106,1,4,7.0,90,6,2025-26-ingest
2025-26,5,121,Synthetic DEF 121,4,2,5.1,90,0,2025-26-ingest
2025-26,6,136,Synthetic FWD 136,6,4,7.1,90,6,2025-26-ingest
2025-26,1,107,Synthetic GK 107,2,1,5.0,90,8,2025-26-ingest
2025-26,8,111,Synthetic MID 111,2,3,6.6,90,1,2025-26-ingest
2025-26,2,122,Synthetic MID 122,4,3,7.0,90,9,2025-26-ingest
2025-26,5,112,Synthetic FWD 112,2,4,7.6,60,1,2025-26-ingest
2025-26,6,127,Synthetic DEF 127,5,2,5.6,60,-1,2025-26-ingest
2025-26,8,102,Synthetic DEF 102,1,2,5.6,90,3,2025-26-ingest
2025-26,2,113,Synthetic GK 113,3,1,5.5,15,12,2025-26-ingest
2025-26,3,128,Synthetic MID 128,5,3,7.5,15,2,2025-26-ingest
2025-26,5,103,Synthetic DEF 103,1,2,6.1,90,6,2025-26-ingest
2025-26,6,118,Synthetic FWD 118,3,4,8.1,90,0,2025-26-ingest
2025-26,7,133,Synthetic DEF 133,6,2,6.1,90,6,2025-26-ingest
2025-26,2,104,Synthetic MID 104,1,3,8.0,90,8,2025-26-ingest
2025-26,3,119,Synthetic GK 119,4,1,6.0,90,9,2025-26-ingest
2025-26,4,134,Synthetic MID 134,6,3,8.0,90,8,2025-26-ingest
2025-26,6,109,Synthetic DEF 109,2,2,6.6,15,1,2025-26-ingest
2025-26,7,124,Synthetic FWD 124,4,4,8.6,15,-1,2025-26-ingest
2025-26,1,135,Synthetic MID 135,6,3,8.5,0,0,2025-26-ingest
2025-26,3,110,Synthetic MID 110,2,3,8.5,72,12,2025-26-ingest
2025-26,4,125,Synthetic GK 125,5,1,6.5,72,2,2025-26-ingest
2025-26,7,115,Synthetic DEF 115,3,2,7.1,90,0,2025-26-ingest
2025-26,1,126,Synthetic DEF 126,5,2,5.0,90,5,2025-26-ingest
2025-26,8,130,Synthetic FWD 130,5,4,9.1,90,6,2025-26-ingest
2025-26,3,101,Synthetic GK 101,1,1,4.5,0,0,2025-26-ingest
2025-26,4,116,Synthetic MID 116,3,3,6.5,0,0,2025-26-ingest
2025-26,5,131,Synthetic GK 131,6,1,4.6,0,0,2025-26-ingest
2025-26,7,106,Synthetic FWD 106,1,4,7.1,72,1,2025-26-ingest
2025-26,1,117,Synthetic MID 117,3,3,7.0,90,4,2025-26-ingest
2025-26,8,121,Synthetic DEF 121,4,2,5.1,72,-1,2025-26-ingest
2025-26,2,132,Synthetic DEF 132,6,2,5.5,90,3,2025-26-ingest
2025-26,4,107,Synthetic GK 107,2,1,5.0,90,12,2025-26-ingest
2025-26,5,122,Synthetic MID 122,4,3,7.1,90,2,2025-26-ingest
2025-26,1,108,Synthetic DEF 108,2,2,6.0,60,1,2025-26-ingest
2025-26,8,112,Synthetic FWD 112,2,4,7.6,0,0,2025-26-ingest
2025-26,2,123,Synthetic MID 123,4,3,7.5,60,5,2025-26-ingest
2025-26,5,113,Synthetic GK 113,3,1,5.6,90,9,2025-26-ingest
2025-26,6,128,Synthetic MID 128,5,3,7.6,90,8,2025-26-ingest
2025-26,8,103,Synthetic DEF 103,1,2,6.1,90,1,2025-26-ingest
2025-26,2,114,Synthetic DEF 114,3,2,6.5,90,4,2025-26-ingest
2025-26,3,129,Synthetic MID 129,5,3,8.0,90,3,2025-26-ingest
2025-26,5,104,Synthetic MID 104,1,3,8.1,60,12,2025-26-ingest
2025-26,6,119,Synthetic GK 119,4,1,6.1,60,2,2025-26-ingest
2025-26,7,134,Synthetic MID 134,6,3,8.1,60,12,2025-26-ingest
2025-26,2,105,Synthetic MID 105,1,3,8.5,15,1,2025-26-ingest
2025-26,3,120,Synthetic DEF 120,4,2,7.0,15,5,2025-26-ingest
2025-26,4,135,Synthetic MID 135,6,3,8.5,15,1,2025-26-ingest
2025-26,6,110,Synthetic MID 110,2,3,8.6,90,9,2025-26-ingest
2025-26,7,125,Synthetic GK 125,5,1,6.6,90,8,2025-26-ingest
2025-26,1,136,Synthetic FWD 136,6,4,7.0,72,1,2025-26-ingest
2025-26,3,111,Synthetic MID 111,2,3,6.5,90,4,2025-26-ingest
2025-26,4,126,Synthetic DEF 126,5,2,5.0,90,3,2025-26-ingest
2025-26,6,101,Synthetic GK 101,1,1,4.6,15,12,2025-26-ingest
2025-26,7,116,Synthetic MID 116,3,3,6.6,15,2,2025-26-ingest
2025-26,1,127,Synthetic DEF 127,5,2,5.5,0,0,2025-26-ingest
2025-26,8,131,Synthetic GK 131,6,1,4.6,15,12,2025-26-ingest
2025-26,3,102,Synthetic DEF 102,1,2,5.5,72,1,2025-26-ingest
2025-26,4,117,Synthetic MID 117,3,3,7.0,72,5,2025-26-ingest
2025-26,5,132,Synthetic DEF 132,6,2,5.6,72,1,2025-26-ingest
2025-26,7,107,Synthetic GK 107,2,1,5.1,90,9,2025-26-ingest
2025-26,1,118,Synthetic FWD 118,3,4,8.0,90,-1,2025-26-ingest
2025-26,8,122,Synthetic MID 122,4,3,7.1,90,8,2025-26-ingest
2025-26,2,133,Synthetic DEF 133,6,2,6.0,90,1,2025-26-ingest
2025-26,4,108,Synthetic DEF 108,2,2,6.0,0,0,2025-26-ingest
2025-26,5,123,Synthetic MID 123,4,3,7.6,0,0,2025-26-ingest
2025-26,1,109,Synthetic DEF 109,2,2,6.5,90,0,2025-26-ingest
2025-26,8,113,Synthetic GK 113,3,1,5.6,72,2,2025-26-ingest
2025-26,2,124,Synthetic FWD 124,4,4,8.5,90,6,2025-26-ingest
2025-26,5,114,Synthetic DEF 114,3,2,6.6,90,5,2025-26-ingest
2025-26,6,129,Synthetic MID 129,5,3,8.1,90,1,2025-26-ingest
2025-26,8,104,Synthetic MID 104,1,3,8.1,0,0,2025-26-ingest
2025-26,2,115,Synthetic DEF 115,3,2,7.0,60,-1,2025-26-ingest
2025-26,3,130,Synthetic FWD 130,5,4,9.0,60,1,2025-26-ingest
2025-26,5,105,Synthetic MID 105,1,3,8.6,90,4,2025-26-ingest
